Submission id,Age,Archived at,Completed at,Completion code,Country of birth,Country of residence,Custom study tncs accepted at,Employment status,Ethnicity simplified,Gender,Language,Nationality,Participant id,Reviewed at,Sex,Started at,Status,Student status,Time taken,Total approvals,URL
67c4da15acde0875e775a9bb,CONSENT_REVOKED,,,,CONSENT_REVOKED,CONSENT_REVOKED,Not Applicable,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,66e348c98052060127ac33b7,,CONSENT_REVOKED,2025-03-02T22:23:00.056000Z,RETURNED,CONSENT_REVOKED,,46,
67c4da6d7f5dc9ad5c272de7,35,2025-03-02T22:49:38.851041Z,2025-03-02T22:49:38.082000Z,C1DSW210,United States,United States,Not Applicable,DATA_EXPIRED,White,Man (including Trans Male/Trans Man),English,United States,668be578e4448cdb5c53fb5d,2025-03-02T22:49:38.940000Z,Male,2025-03-02T22:23:50.096000Z,APPROVED,DATA_EXPIRED,1548.0,101,https://gsw-missing7.streamlit.app/
67c4db3a0cdfa79e68a80a87,32,2025-03-02T23:01:34.389274Z,2025-03-02T23:01:33.353000Z,C1DSW210,United States,United States,Not Applicable,Full-Time,White,Man (including Trans Male/Trans Man),English,United States,676dcbd74fba5b642d1e2f01,2025-03-02T23:01:37.497000Z,Male,2025-03-02T22:27:13.899000Z,APPROVED,No,2060.0,5,https://gws-missing6.streamlit.app/
67c4e5fd61ded1d8d5581ec8,61,2025-03-02T23:46:40.234094Z,2025-03-02T23:46:39.486000Z,C1DSW210,United States,United States,Not Applicable,Full-Time,White,Man (including Trans Male/Trans Man),English,United States,67635766fa58d21a8f3bf904,2025-03-02T23:46:40.373000Z,Male,2025-03-02T23:13:29.738000Z,APPROVED,DATA_EXPIRED,1990.0,96,https://gws-missing6.streamlit.app/
67c4e6175b46e8ab27e7f0fd,61,2025-03-02T23:47:40.635055Z,2025-03-02T23:47:39.533000Z,C1DSW210,United States,United States,Not Applicable,Full-Time,White,Man (including Trans Male/Trans Man),English,United States,668e3854f8c2aaa7d2745f76,2025-03-02T23:47:40.736000Z,Male,2025-03-02T23:13:27.197000Z,APPROVED,DATA_EXPIRED,2053.0,39,https://gsw-missing7.streamlit.app/
67c4e6225180d31faa4d06e8,56,2025-03-02T23:48:19.435825Z,2025-03-02T23:48:18.461000Z,C1DSW210,United States,United States,Not Applicable,Full-Time,White,Man (including Trans Male/Trans Man),English,United States,67abe07ca1c6b13748d82978,2025-03-02T23:48:19.563000Z,Male,2025-03-02T23:13:38.276000Z,APPROVED,Yes,2081.0,12,https://gws-missing8.streamlit.app/
